"contrast","estimate","SE","df","z.ratio","p.value"
"3_2 - 4_4",1.85172302781025,16.419898537404,Inf,0.112773110235248,1
"3_2 - 5_1",2.41639447189915,16.4202095709395,Inf,0.14715978267267,1
"3_2 - 5_2",0.165583646417788,17.957019003184,Inf,0.00922110993970814,1
"3_2 - 5_3",3.00172878711956,16.4208184082848,Inf,0.182800193783587,1
"3_2 - 5_4",1.87721535760953,16.419869548472,Inf,0.114325838708275,1
"3_2 - 6_1",3.39480816661199,16.4213400405372,Inf,0.206731494398854,1
"3_2 - 6_2",2.52510828344499,16.4202364980024,Inf,0.153780262772231,1
"3_2 - 6_3",2.92366301816999,16.4206432654306,Inf,0.178048019855897,1
"3_2 - 6_4",2.8710228186666,16.4205570587742,Inf,0.174843204672675,1
"3_3 - 3_4",0.362382373431734,0.270998962004868,Inf,1.33720945183998,0.999774644589589
"3_3 - 4_1",0.536351849273796,0.272689341890183,Inf,1.96689700285314,0.955509938562852
"3_3 - 4_2",0.0825935361728085,0.272895504127294,Inf,0.30265627290907,1
"3_3 - 4_3",0.658201317807552,0.2728328363639,Inf,2.41247104483294,0.741178433783385
"3_3 - 4_4",-0.0312987492910626,0.282344701938238,Inf,-0.110852971832668,1
"3_3 - 5_1",0.533372694797846,0.270711622735887,Inf,1.97026152555783,0.954700509666785
"3_3 - 5_2",-1.71743813068352,7.28257902758619,Inf,-0.235828286130218,1
"3_3 - 5_3",1.11870701001825,0.289535661308105,Inf,3.86379696706098,0.0226180861338221
"3_3 - 5_4",-0.00580641949177618,0.278154224084836,Inf,-0.020874820473714,1
"3_3 - 6_1",1.51178638951068,0.310809518029655,Inf,4.86402861500026,0.000296599773038086
"3_3 - 6_2",0.642086506343682,0.269689621914841,Inf,2.38083505692493,0.763299030488785
"3_3 - 6_3",1.04064124106868,0.281958851143641,Inf,3.69075571434547,0.0417520409897894
"3_3 - 6_4",0.988001041565292,0.277842200870431,Inf,3.55597903583422,0.0651814226301042
"3_4 - 4_1",0.173969475842062,0.260926531200978,Inf,0.666737395547035,0.999999999662436
"3_4 - 4_2",-0.279788837258926,0.262885512903253,Inf,-1.06429918548571,0.999995923262816
"3_4 - 4_3",0.295818944375818,0.260202078476109,Inf,1.13688155801176,0.999986319233298
"3_4 - 4_4",-0.393681122722797,0.274112831841279,Inf,-1.43620099824715,0.999295519391612
"3_4 - 5_1",0.170990321366112,0.258493912747964,Inf,0.661486839470878,0.99999999971457
"3_4 - 5_2",-2.07982050411526,7.28297129771461,Inf,-0.285573074380769,1
"3_4 - 5_3",0.756324636586517,0.27672216658482,Inf,2.73315522901809,0.489531308185751
"3_4 - 5_4",-0.36818879292351,0.268827099065833,Inf,-1.36961189628187,0.999667469080712
"3_4 - 6_1",1.14940401607895,0.298276957391946,Inf,3.85347908242403,0.0234894420848067
"3_4 - 6_2",0.279704132911948,0.257703064931345,Inf,1.08537371484683,0.99999413507025
"3_4 - 6_3",0.678258867636945,0.269019828382718,Inf,2.52122258687946,0.659652856372442
"3_4 - 6_4",0.625618668133558,0.264934105917845,Inf,2.36141234427386,0.776448384920443
"4_1 - 4_2",-0.453758313100988,0.264748965562732,Inf,-1.71391911630896,0.991211044832598
"4_1 - 4_3",0.121849468533755,0.261270915927689,Inf,0.46637211073076,1
"4_1 - 4_4",-0.567650598564859,0.27496498862249,Inf,-2.06444682797128,0.927400681088558
"4_1 - 5_1",-0.00297915447595054,0.259724377765666,Inf,-0.0114704460997437,1
"4_1 - 5_2",-2.25378997995732,7.28321531402523,Inf,-0.309449862839728,1
"4_1 - 5_3",0.582355160744454,0.277514703110726,Inf,2.09846597033131,0.915194373777444
"4_1 - 5_4",-0.542158268765573,0.270900821984244,Inf,-2.00131644043924,0.946708432151535
"4_1 - 6_1",0.975434540236885,0.298671889136886,Inf,3.26590675492004,0.153426870802382
"4_1 - 6_2",0.105734657069886,0.257886344147121,Inf,0.410004870244567,1
"4_1 - 6_3",0.504289391794883,0.269310183973455,Inf,1.87252254762333,0.974108847916327
"4_1 - 6_4",0.451649192291496,0.265308449890494,Inf,1.70235509829375,0.991951418508996
"4_2 - 4_3",0.575607781634743,0.264633605370368,Inf,2.17511219268298,0.882839365926679
"4_2 - 4_4",-0.113892285463871,0.275654010857298,Inf,-0.413171152887129,1
"4_2 - 5_1",0.450779158625037,0.262592930430628,Inf,1.71664620934692,0.991028481678942
"4_2 - 5_2",-1.80003166685633,7.2825215022612,Inf,-0.247171486729895,1
"4_2 - 5_3",1.03611347384544,0.281593740951231,Inf,3.67946201625584,0.0433876060366529
"4_2 - 5_4",-0.0883999556645847,0.270972055499269,Inf,-0.326232738286267,1
"4_2 - 6_1",1.42919285333787,0.303248845742816,Inf,4.71293748814452,0.000617675615765534
"4_2 - 6_2",0.559492970170874,0.261698451918074,Inf,2.13792999565021,0.899384837671776
"4_2 - 6_3",0.958047704895871,0.273836172355052,Inf,3.49861633200774,0.0780892702804412
